place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri
32,ywxe560m,https://www.speedrun.com/sm64/run/ywxe560m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=CYSKdjTOdbk'}],Mod note: Please show full reset in future submissions.,verified,8lpgwllj,2024-07-10T23:16:16Z,"[{'rel': 'user', 'id': 'qjnw4rdj', 'uri': 'https://www.speedrun.com/api/v1/users/qjnw4rdj'}]",2024-07-10,2024-07-10T08:35:24Z,PT7M29S,449,PT7M29S,449,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
34,y4675xdz,https://www.speedrun.com/sm64/run/y4675xdz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.bilibili.com/video/BV1xm421E7XK/?spm_id_from=333.999.0.0'}],"fuck yes, played on keyboard and project 64 1.6",verified,8lpgwllj,2024-03-31T21:56:56Z,"[{'rel': 'user', 'id': 'j52myw6j', 'uri': 'https://www.speedrun.com/api/v1/users/j52myw6j'}]",2024-03-31,2024-03-31T11:59:51Z,PT7M34S,454,PT7M34S,454,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
35,mrvxeedz,https://www.speedrun.com/sm64/run/mrvxeedz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/sWNsEazFfDM'}],shoutouts to geek and cosmalano,verified,8lpgwllj,2024-05-19T01:30:11Z,"[{'rel': 'user', 'id': 'jo3w720j', 'uri': 'https://www.speedrun.com/api/v1/users/jo3w720j'}]",2024-05-19,2024-05-19T01:16:15Z,PT7M35S,455,PT7M35S,455,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
35,yvnrdqom,https://www.speedrun.com/sm64/run/yvnrdqom,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=WAez2ji_4AY'}],,verified,8q316z7j,2025-02-03T00:44:09Z,"[{'rel': 'user', 'id': '8r3rzrq8', 'uri': 'https://www.speedrun.com/api/v1/users/8r3rzrq8'}]",2025-02-01,2025-02-01T21:06:22Z,PT7M35S,455,PT7M35S,455,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
37,z0q3lqjm,https://www.speedrun.com/sm64/run/z0q3lqjm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/MCWgx6m0ZeY'}],THANK YOU COSMA :),verified,8q316z7j,2025-03-13T21:46:20Z,"[{'rel': 'user', 'id': 'xz27v1nx', 'uri': 'https://www.speedrun.com/api/v1/users/xz27v1nx'}]",2024-07-19,2024-07-19T03:17:29Z,PT7M36S,456,PT7M36S,456,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
38,yjwwo5nm,https://www.speedrun.com/sm64/run/yjwwo5nm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=07bM4wy3Io0'}],trash fire sea and sky,verified,qxkm6mj0,2023-12-18T23:46:51Z,"[{'rel': 'user', 'id': 'j4rpdvw8', 'uri': 'https://www.speedrun.com/api/v1/users/j4rpdvw8'}]",2023-12-18,2023-12-18T21:05:25Z,PT7M40S,460,PT7M40S,460,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
39,yjp9dr7y,https://www.speedrun.com/sm64/run/yjp9dr7y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=oUldvOCpd7k'}],,verified,qxkm6mj0,2022-06-29T11:55:34Z,"[{'rel': 'user', 'id': '68wzrnv8', 'uri': 'https://www.speedrun.com/api/v1/users/68wzrnv8'}]",2022-06-28,2022-06-28T04:54:25Z,PT7M42S,462,PT7M42S,462,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
40,mrx9028m,https://www.speedrun.com/sm64/run/mrx9028m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/Ol0T0DowfvM'}],### ahh the marlene,verified,8lpgwllj,2024-08-04T23:43:57Z,"[{'rel': 'user', 'id': '8rperewj', 'uri': 'https://www.speedrun.com/api/v1/users/8rperewj'}]",2024-08-04,2024-08-04T16:57:12Z,PT7M44S,464,PT7M44S,464,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
41,y2pg2r5z,https://www.speedrun.com/sm64/run/y2pg2r5z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1504568928'}],,verified,qxkm6mj0,2022-06-15T20:07:09Z,"[{'rel': 'user', 'id': 'x7qqopy8', 'uri': 'https://www.speedrun.com/api/v1/users/x7qqopy8'}]",2022-06-15,2022-06-15T17:40:56Z,PT7M48S,468,PT7M48S,468,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
42,7z0pnw4y,https://www.speedrun.com/sm64/run/7z0pnw4y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/GwgTrBxW8d4'}],Finally sub 8 on keyboard :),verified,o864qpjz,2016-02-20T22:49:49Z,"[{'rel': 'user', 'id': 'qjn3egwx', 'uri': 'https://www.speedrun.com/api/v1/users/qjn3egwx'}]",2016-02-20,2016-02-20T15:12:15Z,PT7M50S,470,PT7M50S,470,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
43,mr7ox67z,https://www.speedrun.com/sm64/run/mr7ox67z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1499816731'}],,verified,48gye018,2022-06-11T04:42:29Z,"[{'rel': 'user', 'id': '8rpv21dj', 'uri': 'https://www.speedrun.com/api/v1/users/8rpv21dj'}]",2022-06-11,2022-06-10T13:15:07Z,PT7M51S,471,PT7M51S,471,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
44,z08xv9em,https://www.speedrun.com/sm64/run/z08xv9em,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=GWl3q7gnQGk&t=10s'}],,verified,8lpgwllj,2025-02-24T21:59:14Z,"[{'rel': 'user', 'id': '8eoe6kdj', 'uri': 'https://www.speedrun.com/api/v1/users/8eoe6kdj'}]",2025-02-24,2025-02-24T17:06:11Z,PT7M56S,476,PT7M56S,476,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
45,y60xgrqy,https://www.speedrun.com/sm64/run/y60xgrqy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/zVGY34thTQE'}],yay,verified,qxkm6mj0,2022-06-05T15:34:03Z,"[{'rel': 'user', 'id': '86vvqv0j', 'uri': 'https://www.speedrun.com/api/v1/users/86vvqv0j'}]",2022-06-05,2022-06-05T11:52:38Z,PT7M58S,478,PT7M58S,478,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
46,z1pnxj9z,https://www.speedrun.com/sm64/run/z1pnxj9z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1515521638'}],,verified,qxkm6mj0,2022-06-27T13:19:28Z,"[{'rel': 'user', 'id': '8end5g78', 'uri': 'https://www.speedrun.com/api/v1/users/8end5g78'}]",2022-06-27,2022-06-27T12:36:08Z,PT8M1S,481,PT8M1S,481,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
47,ywrxol3m,https://www.speedrun.com/sm64/run/ywrxol3m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=0-_FHvjU7SY'}],,verified,qxkm6mj0,2023-07-29T13:58:53Z,"[{'rel': 'user', 'id': '8lpl934j', 'uri': 'https://www.speedrun.com/api/v1/users/8lpl934j'}]",2023-07-28,2023-07-28T18:06:37Z,PT8M2S,482,PT8M2S,482,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
48,yoxkxgjy,https://www.speedrun.com/sm64/run/yoxkxgjy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/RG8jCiKLo5A'}],i can pb 0 but not 1 :(,verified,98rp5mwj,2024-07-30T16:07:00Z,"[{'rel': 'user', 'id': '8v211gyj', 'uri': 'https://www.speedrun.com/api/v1/users/8v211gyj'}]",2024-07-29,2024-07-30T03:22:27Z,PT8M3S,483,PT8M3S,483,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,splits.io,https://splits.io/api/v3/runs/ccy3
49,ylp8gpkm,https://www.speedrun.com/sm64/run/ylp8gpkm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/B30ZtCaLVjM'}],![](/static/blob/rnq2o7rn.png),verified,8e6k1loj,2025-04-16T23:28:25Z,"[{'rel': 'user', 'id': 'jo2mdg08', 'uri': 'https://www.speedrun.com/api/v1/users/jo2mdg08'}]",2025-04-13,2025-04-13T06:23:07Z,PT8M8S,488,PT8M8S,488,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
50,meld000z,https://www.speedrun.com/sm64/run/meld000z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/AzvkSXE1oSE'}],3f is the only method,verified,j4232gmx,2023-08-20T12:18:19Z,"[{'rel': 'user', 'id': 'e8ewrz78', 'uri': 'https://www.speedrun.com/api/v1/users/e8ewrz78'}]",2023-08-14,2023-08-17T10:16:49Z,PT8M10S,490,PT8M10S,490,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
51,z57p2onm,https://www.speedrun.com/sm64/run/z57p2onm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/507131547'}],hey uhh,verified,zx7gkrx7,2019-11-17T23:51:25Z,"[{'rel': 'user', 'id': '7j47lplj', 'uri': 'https://www.speedrun.com/api/v1/users/7j47lplj'}]",2019-11-11,2019-11-17T22:48:45Z,PT8M12S,492,PT8M12S,492,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
51,m7021qey,https://www.speedrun.com/sm64/run/m7021qey,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=8vvUbLvf8yI&ab_channel=Sanklo'}],,verified,zx7gkrx7,2023-07-06T03:10:28Z,"[{'rel': 'user', 'id': '1xyqkgz8', 'uri': 'https://www.speedrun.com/api/v1/users/1xyqkgz8'}]",2023-07-05,2023-07-05T06:32:29Z,PT8M12S,492,PT8M12S,492,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
53,y6rdr5py,https://www.speedrun.com/sm64/run/y6rdr5py,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/781739238'}],"We got DDD skip! I don't even care how bad the second half was, we did it.",verified,zx7gkrx7,2020-10-26T03:59:22Z,"[{'rel': 'user', 'id': 'jmo4ewn8', 'uri': 'https://www.speedrun.com/api/v1/users/jmo4ewn8'}]",2020-10-25,2020-10-25T19:31:46Z,PT8M13S,493,PT8M13S,493,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
53,ywx8qgpm,https://www.speedrun.com/sm64/run/ywx8qgpm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2209446266'}],,verified,8qrv5k0j,2024-07-29T15:47:46Z,"[{'rel': 'user', 'id': 'jm3z2mn8', 'uri': 'https://www.speedrun.com/api/v1/users/jm3z2mn8'}]",2024-07-28,2024-07-28T09:12:03Z,PT8M13S,493,PT8M13S,493,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
55,y88nlw1y,https://www.speedrun.com/sm64/run/y88nlw1y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1530112816'}],cool,verified,qxkm6mj0,2022-07-13T13:43:23Z,"[{'rel': 'user', 'id': '5j5gwr68', 'uri': 'https://www.speedrun.com/api/v1/users/5j5gwr68'}]",2022-07-12,2022-07-12T23:47:45Z,PT8M15S,495,PT8M15S,495,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
55,zgq230vy,https://www.speedrun.com/sm64/run/zgq230vy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/oXZ3gTDXAkQ'}],lol,verified,qxkm6mj0,2022-09-14T12:32:59Z,"[{'rel': 'user', 'id': '8g547vyj', 'uri': 'https://www.speedrun.com/api/v1/users/8g547vyj'}]",2022-09-14,2022-09-14T10:00:43Z,PT8M15S,495,PT8M15S,495,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
55,y863xpnm,https://www.speedrun.com/sm64/run/y863xpnm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=nKbWI6-dN0o'}],OMG I DID IT,verified,qxkm6mj0,2023-04-26T17:22:27Z,"[{'rel': 'user', 'id': '86n94m0x', 'uri': 'https://www.speedrun.com/api/v1/users/86n94m0x'}]",2023-04-26,2023-04-26T16:12:34Z,PT8M15S,495,PT8M15S,495,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
58,yvppe38y,https://www.speedrun.com/sm64/run/yvppe38y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1871508022'}],Yay,verified,qxk4wo6j,2023-07-14T15:31:40Z,"[{'rel': 'user', 'id': '8v5nwrnj', 'uri': 'https://www.speedrun.com/api/v1/users/8v5nwrnj'}]",2023-07-14,2023-07-14T06:08:26Z,PT8M18S,498,PT8M18S,498,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
59,zpw2n3gy,https://www.speedrun.com/sm64/run/zpw2n3gy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=-GxjKck5dSg'}],,verified,qxkm6mj0,2023-06-19T23:43:31Z,"[{'rel': 'user', 'id': '18q5www8', 'uri': 'https://www.speedrun.com/api/v1/users/18q5www8'}]",2023-06-20,2023-06-19T16:58:18Z,PT8M20S,500,PT8M20S,500,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,
60,zqeqv4xz,https://www.speedrun.com/sm64/run/zqeqv4xz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1757235788'}],"Had to submit a new emulator pb because I got ultimate :p

mod note: retimed to 8:21",verified,qxkm6mj0,2023-03-06T13:33:42Z,"[{'rel': 'user', 'id': 'xk41ok7j', 'uri': 'https://www.speedrun.com/api/v1/users/xk41ok7j'}]",2023-03-06,2023-03-06T11:35:06Z,PT8M21S,501,PT8M21S,501,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
61,yvp92oey,https://www.speedrun.com/sm64/run/yvp92oey,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=Ouy7uXYOiR8'}],,verified,qxkm6mj0,2023-05-28T13:51:32Z,"[{'rel': 'user', 'id': 'pj0rd9mj', 'uri': 'https://www.speedrun.com/api/v1/users/pj0rd9mj'}]",2023-05-28,2023-05-28T09:51:22Z,PT8M22S,502,PT8M22S,502,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,
