place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
301,znxw2r8y,https://www.speedrun.com/sm64/run/znxw2r8y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=TNdWMdmJu-Y'}],"Sub-10 hopefully soon.....

mod note: verified:no for audio issues throughout run",verified,98rp5mwj,2024-07-09T15:25:10Z,"[{'rel': 'user', 'id': 'j5q6q5gj', 'uri': 'https://www.speedrun.com/api/v1/users/j5q6q5gj'}]",2024-07-09,2024-07-09T10:36:42Z,PT10M18S,618,PT10M18S,618,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,4qyxop3l,,,
303,zpxq47xm,https://www.speedrun.com/sm64/run/zpxq47xm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=DgZXLSToJNg'}],Mod note: Retimed to 1:21.000,verified,j2w1w5lj,2024-07-12T21:02:39Z,"[{'rel': 'user', 'id': 'x7m4r90x', 'uri': 'https://www.speedrun.com/api/v1/users/x7m4r90x'}]",2024-07-12,2024-07-12T04:50:13Z,PT10M21S,621,PT10M21S,621,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
304,zxogodqz,https://www.speedrun.com/sm64/run/zxogodqz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/v2Cl5rz_nU4'}],"Just wanted a time on the leaderboards for 1 star.
mod note: retimed to 10:22",verified,qxkm6mj0,2021-08-28T19:47:37Z,"[{'rel': 'user', 'id': 'j5vvg3z8', 'uri': 'https://www.speedrun.com/api/v1/users/j5vvg3z8'}]",2021-08-28,2021-08-28T07:43:48Z,PT10M22S,622,PT10M22S,622,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
305,yw17979z,https://www.speedrun.com/sm64/run/yw17979z,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=-1KVingZRtg'}],1st try sblj Kreygasm,verified,zx7gkrx7,2018-04-19T05:59:09Z,"[{'rel': 'user', 'id': 'zxzy6drj', 'uri': 'https://www.speedrun.com/api/v1/users/zxzy6drj'}]",2018-04-17,2018-04-17T18:15:26Z,PT10M24S,624,PT10M24S,624,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
306,y2pnovjz,https://www.speedrun.com/sm64/run/y2pnovjz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=s4MZm5oIm04'}],Mod Note: Changed region to USA/NTSC,verified,98rv2rdj,2022-07-04T22:15:47Z,"[{'rel': 'user', 'id': 'xz9vlv48', 'uri': 'https://www.speedrun.com/api/v1/users/xz9vlv48'}]",2022-07-04,2022-07-04T21:27:18Z,PT10M25S,625,PT10M25S,625,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
307,m70drn9y,https://www.speedrun.com/sm64/run/m70drn9y,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/17ombiGsd_8'}],How?,verified,qxk241kx,2023-06-14T14:39:13Z,"[{'rel': 'user', 'id': '8dg3z6o8', 'uri': 'https://www.speedrun.com/api/v1/users/8dg3z6o8'}]",2023-06-13,2023-06-13T19:19:53Z,PT10M26S,626,PT10M26S,626,,0,,0,w89rwelk,True,pr184lqn,,5lmoxk01,5q8e86rq,,,
307,y8pqk7nz,https://www.speedrun.com/sm64/run/y8pqk7nz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.youtube.com/watch?v=n70hngPB6qc'}],"nothing to say it sucks lmaoooo

Mod note: Retimed to 10:27 ",verified,8lpgwllj,2024-07-14T22:25:29Z,"[{'rel': 'user', 'id': '81qlog3j', 'uri': 'https://www.speedrun.com/api/v1/users/81qlog3j'}]",2024-07-14,2024-07-14T18:03:30Z,PT10M26S,626,PT10M26S,626,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
309,yo4ovldm,https://www.speedrun.com/sm64/run/yo4ovldm,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/2laK_iSj_rI'}],,verified,zx7gkrx7,2017-12-28T20:40:33Z,"[{'rel': 'user', 'id': '48go17yx', 'uri': 'https://www.speedrun.com/api/v1/users/48go17yx'}]",2017-12-28,2017-12-28T13:42:38Z,PT10M27S,627,PT10M27S,627,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
310,z093xwoz,https://www.speedrun.com/sm64/run/z093xwoz,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://www.twitch.tv/videos/749339942'}],,verified,e8e9ze2j,2020-09-23T23:58:18Z,"[{'rel': 'user', 'id': 'j92z30n8', 'uri': 'https://www.speedrun.com/api/v1/users/j92z30n8'}]",2020-09-22,2020-09-23T02:16:19Z,PT10M29S,629,PT10M29S,629,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
311,yvnk704m,https://www.speedrun.com/sm64/run/yvnk704m,o1y9wo6q,,7kjpp4k3,[{'uri': 'https://youtu.be/47u1Yr1k3wM?si=VPi_72FJKq2Es5Zt'}],endless stair blj............,verified,8q316z7j,2025-04-09T01:39:38Z,"[{'rel': 'user', 'id': '8looznr8', 'uri': 'https://www.speedrun.com/api/v1/users/8looznr8'}]",2025-04-04,2025-04-05T17:48:36Z,PT10M30S,630,PT10M30S,630,,0,,0,w89rwelk,True,o316x197,,5lmoxk01,5q8e86rq,,,
