place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.splits.rel,run.splits.uri,run.videos
78,z5dqn9em,https://www.speedrun.com/sm64/run/z5dqn9em,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1213405552'}],"142-is-finally-mine 
mod note: retimed to 1:42:46(.00)",verified,qxkm6mj0,2021-11-23T16:42:59Z,"[{'rel': 'user', 'id': '98r70w3j', 'uri': 'https://www.speedrun.com/api/v1/users/98r70w3j'}]",2021-11-22,2021-11-23T03:03:25Z,PT1H42M46S,6166,PT1H42M46S,6166,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,splits.io,https://splits.io/api/v3/runs/8m07,
79,yvr5398z,https://www.speedrun.com/sm64/run/yvr5398z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1527263113'}],"death in RR on huge gold pace and missed a throw but still got the 1:42 :)

mod note: set to 'verified: no' due to no longer available video",verified,zx7gkrx7,2022-07-10T18:03:45Z,"[{'rel': 'user', 'id': '8rpp0egj', 'uri': 'https://www.speedrun.com/api/v1/users/8rpp0egj'}]",2022-07-09,2022-07-09T22:42:31Z,PT1H42M52S,6172,PT1H42M52S,6172,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,
80,m37g7q4z,https://www.speedrun.com/sm64/run/m37g7q4z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1122308813'}],,verified,qxkm6mj0,2021-08-18T20:54:45Z,"[{'rel': 'user', 'id': 'dx3q74qj', 'uri': 'https://www.speedrun.com/api/v1/users/dx3q74qj'}]",2021-08-18,2021-08-18T20:40:07Z,PT1H42M53S,6173,PT1H42M53S,6173,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
81,y4o941kz,https://www.speedrun.com/sm64/run/y4o941kz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.twitch.tv/videos/1806641522'}],,verified,zx7gkrx7,2023-04-29T23:15:05Z,"[{'rel': 'user', 'id': 'x359w0kj', 'uri': 'https://www.speedrun.com/api/v1/users/x359w0kj'}]",2023-04-29,2023-04-29T11:09:15Z,PT1H42M55S,6175,PT1H42M55S,6175,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
82,ydj66ljy,https://www.speedrun.com/sm64/run/ydj66ljy,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=nhJOwamz0q0'}],,verified,8q3dqn7j,2023-05-15T19:51:18Z,"[{'rel': 'user', 'id': '1xyw6wn8', 'uri': 'https://www.speedrun.com/api/v1/users/1xyw6wn8'}]",2023-05-14,2023-05-14T06:10:19Z,PT1H43M1S,6181,PT1H43M1S,6181,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
83,y9l7xxny,https://www.speedrun.com/sm64/run/y9l7xxny,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=ckbz7j7Zcpk'}],,verified,qxkm6mj0,2021-12-08T14:25:13Z,"[{'rel': 'user', 'id': '1xy05zjr', 'uri': 'https://www.speedrun.com/api/v1/users/1xy05zjr'}]",2021-12-07,2021-12-08T14:23:06Z,PT1H43M14S,6194,PT1H43M14S,6194,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
84,mr4jrggz,https://www.speedrun.com/sm64/run/mr4jrggz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=U4_DgzaDvVk&ab_channel=Drogie%27sN64Videos'}],a,verified,e8e6edj0,2021-01-14T01:47:14Z,"[{'rel': 'user', 'id': 'zxz97kn8', 'uri': 'https://www.speedrun.com/api/v1/users/zxz97kn8'}]",2021-01-13,2021-01-13T23:44:27Z,PT1H43M16S,6196,PT1H43M16S,6196,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
85,nz1e5l7y,https://www.speedrun.com/sm64/run/nz1e5l7y,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=8s8anbmWOZo'}],,verified,qxkm6mj0,2017-02-22T13:48:28Z,"[{'rel': 'guest', 'name': '[jp]アキラ (Akira)', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5D%E3%82%A2%E3%82%AD%E3%83%A9+%28Akira%29'}]",2017-02-20,2017-02-22T13:48:28Z,PT1H43M23S,6203,PT1H43M23S,6203,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
86,y2dn2e7z,https://www.speedrun.com/sm64/run/y2dn2e7z,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=RS5argaCIZM'}],,verified,zx7gkrx7,2020-12-18T23:22:07Z,"[{'rel': 'user', 'id': 'qjnz771j', 'uri': 'https://www.speedrun.com/api/v1/users/qjnz771j'}]",2020-12-18,2020-12-18T08:13:58Z,PT1H43M25S,6205,PT1H43M25S,6205,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
87,zqqg4orz,https://www.speedrun.com/sm64/run/zqqg4orz,o1y9wo6q,,wkpoo02r,[{'uri': 'https://www.youtube.com/watch?v=-F233Dnnpcw'}],,verified,qxk4wo6j,2024-08-07T23:09:22Z,"[{'rel': 'guest', 'name': '[jp]Melty', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5DMelty'}]",2024-08-02,2024-08-07T11:48:28Z,PT1H43M26S,6206,PT1H43M26S,6206,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,
