id,started,ended,realTime,BoB (1),WF (6),CCM (8),DW (9),SSL (11),LLL (12),HMC (15),DDD (16),FS,BLJs,BITS
123,03/01/2025 04:43:25,03/01/2025 05:03:13,00:19:49.1928855,00:01:38.1820020,00:03:17.6011808,00:01:23.2010590,00:02:11.7495875,00:01:25.5671322,00:00:37.7178431,00:01:17.7989904,00:01:49.1169861,00:03:05.2010842,00:01:02.7839911,00:02:00.2730291
124,03/01/2025 05:06:15,03/01/2025 05:25:47,00:19:32.6167352,00:02:03.1345414,00:03:33.7527577,00:01:27.4668143,00:02:05.1493107,00:01:27.2696464,00:00:37.5497009,00:01:25.4340509,00:01:48.2022813,00:02:19.2472494,00:00:57.7668944,00:01:47.6434878
125,03/01/2025 05:33:25,03/01/2025 05:37:40,,,,,,,,,,,,
126,03/01/2025 18:33:42,03/01/2025 18:34:12,,,,,,,,,,,,
127,03/01/2025 18:34:14,03/01/2025 18:53:53,,,,,,,,,,,,
128,03/01/2025 19:02:36,03/01/2025 19:29:45,,,,,,,,,,,,
129,03/04/2025 01:32:11,03/04/2025 01:33:03,,,,,,,,,,,,
130,03/04/2025 01:33:06,03/04/2025 01:34:09,,,,,,,,,,,,
131,03/04/2025 01:34:11,03/04/2025 01:34:15,,,,,,,,,,,,
132,03/04/2025 01:34:17,03/04/2025 01:35:58,,,,,,,,,,,,
133,03/04/2025 01:36:01,03/04/2025 01:37:36,,,,,,,,,,,,
134,03/04/2025 01:37:38,03/04/2025 01:38:47,,,,,,,,,,,,
135,03/04/2025 01:38:49,03/04/2025 01:46:34,,00:01:39.3304290,00:03:28.2004340,00:01:20.0862064,,,,,,,,
136,03/04/2025 01:46:41,03/04/2025 01:54:46,,00:01:38.6560143,00:03:08.6179472,00:01:33.1689866,,,,,,,,
137,03/04/2025 01:54:52,03/04/2025 01:56:32,,,,,,,,,,,,
138,03/04/2025 01:56:35,03/04/2025 01:57:38,,,,,,,,,,,,
139,03/04/2025 01:57:40,03/04/2025 01:59:20,,,,,,,,,,,,
140,03/04/2025 01:59:22,03/04/2025 01:59:30,,,,,,,,,,,,
141,03/04/2025 01:59:33,03/04/2025 02:02:56,,00:01:39.7528857,,,,,,,,,,
142,03/04/2025 02:02:59,03/04/2025 02:22:17,00:19:20.1972975,00:01:38.5686919,00:03:16.6331419,00:01:25.1335766,00:02:08.4505267,00:01:26.6340137,00:00:36.3666917,00:01:50.7838477,00:01:30.9690928,00:02:14.2986748,00:01:06.9335951,00:02:05.4254446
143,03/04/2025 02:23:31,03/04/2025 02:31:44,,00:01:38.1657105,00:03:11.6279673,00:01:25.5335184,,,,,,,,
144,03/04/2025 02:31:47,03/04/2025 02:50:25,00:18:39.7112841,00:01:38.1009947,00:03:06.3004640,00:01:19.9181662,00:01:59.8903641,00:01:25.7425124,00:00:33.3670607,00:01:19.6835543,00:01:33.1507706,00:01:31.6836195,00:00:55.1997155,00:03:16.6740621
145,03/07/2025 09:20:35,03/07/2025 09:21:40,,,,,,,,,,,,
146,03/07/2025 09:21:40,03/07/2025 09:40:44,00:19:05.6566729,,00:05:06.0667680,00:01:21.9153888,00:02:03.1351744,00:01:38.6487666,00:00:37.7335019,00:01:18.5400861,00:01:53.7958608,00:01:37.3980852,00:01:53.1825995,00:01:35.2404416
147,03/07/2025 09:42:44,03/07/2025 09:43:49,,,,,,,,,,,,
148,03/07/2025 09:43:49,03/07/2025 09:44:52,,,,,,,,,,,,
149,03/07/2025 09:44:52,03/07/2025 09:45:56,,,,,,,,,,,,
150,03/07/2025 09:45:56,03/07/2025 09:53:27,,00:01:38.3489444,00:03:20.8681888,00:01:23.4839325,,,,,,,,
151,03/07/2025 09:53:27,03/07/2025 09:54:39,,,,,,,,,,,,
152,03/07/2025 09:54:39,03/07/2025 09:56:20,,,,,,,,,,,,
153,03/07/2025 09:56:20,03/07/2025 09:58:07,,,,,,,,,,,,
154,03/07/2025 09:58:07,03/07/2025 10:01:39,,00:01:38.8767838,,,,,,,,,,
155,03/07/2025 10:01:39,03/07/2025 10:01:49,,,,,,,,,,,,
156,03/09/2025 18:04:50,03/09/2025 18:24:30,00:19:41.4295189,00:01:47.1651546,00:03:19.4985992,00:01:20.4843980,00:02:19.1746264,00:01:29.3258589,00:00:36.5301543,00:01:22.3474226,00:01:54.6081684,00:01:37.2994787,00:01:07.0314154,00:02:47.9642424
157,03/09/2025 18:26:52,03/09/2025 18:46:35,00:19:43.7623801,00:01:54.7842626,00:03:16.0335424,00:01:27.1003600,00:02:06.8494477,00:01:28.1838897,00:00:33.2006962,00:01:17.3703292,00:01:39.3621243,00:02:20.3845913,00:01:02.9668089,00:02:37.5263278
158,03/09/2025 18:56:58,03/09/2025 19:00:35,,00:01:37.6381329,,,,,,,,,,
159,03/09/2025 19:01:28,03/09/2025 19:19:36,00:18:09.4507384,00:01:38.3950858,00:03:18.1476620,00:01:30.9047147,00:02:04.7635029,00:01:27.1999415,00:00:33.3995997,00:01:16.8672690,00:01:38.5339855,00:01:39.3163892,00:01:12.9668602,00:01:48.9557279
160,03/09/2025 19:20:54,03/09/2025 19:22:36,,,,,,,,,,,,
161,03/09/2025 19:22:36,03/09/2025 19:27:26,,00:01:40.2917128,,,,,,,,,,
162,03/09/2025 19:27:26,03/09/2025 19:29:01,,,,,,,,,,,,
163,03/09/2025 19:29:01,03/09/2025 19:32:15,,00:01:40.0914174,,,,,,,,,,
164,03/12/2025 04:05:17,03/12/2025 04:24:04,00:18:48.7783112,00:01:53.5847181,00:03:15.4368658,00:01:40.2642625,00:02:04.9335810,00:01:25.5001189,00:00:32.8862701,00:01:49.9476296,00:01:31.6337545,00:01:37.3836404,00:01:07.6171118,00:01:49.5903585
165,03/12/2025 04:27:13,03/12/2025 04:47:27,,00:01:38.3610995,00:03:23.1830899,00:01:24.0514079,00:02:01.0351600,00:01:48.1656538,00:00:35.4345059,00:01:17.6152715,00:02:15.7500999,00:01:53.5343307,00:01:18.7000375,
166,03/12/2025 04:47:33,03/12/2025 05:01:40,,00:01:38.5886994,00:03:09.0508075,00:01:33.3504356,00:02:49.1840344,00:01:25.9171715,00:00:34.2498717,00:01:24.3169182,,,,
167,03/12/2025 05:01:40,03/12/2025 05:05:26,,00:03:46.2016977,,,,,,,,,,
168,03/12/2025 05:05:26,03/12/2025 05:06:28,,,,,,,,,,,,
169,03/13/2025 00:00:10,03/13/2025 00:18:12,00:18:03.4338831,00:01:38.1428138,00:03:26.9334039,00:01:21.6821503,00:02:04.3673376,00:01:30.9672583,00:00:36.0369202,00:01:19.0469426,00:01:28.0001185,00:01:31.0676755,00:01:12.1662330,00:01:55.0230294
170,03/13/2025 00:22:47,03/13/2025 00:40:57,00:18:11.5815045,00:01:37.3191879,00:03:07.6658138,00:01:23.0506482,00:02:13.1823539,00:01:24.4693977,00:00:33.0143474,00:01:17.0352471,00:01:25.8875986,00:01:37.3614218,00:00:55.1206267,00:02:37.4748614
171,03/13/2025 00:42:21,03/13/2025 01:00:34,00:18:14.4011758,00:01:37.5454910,00:03:19.0969085,00:01:23.8170005,00:02:22.0678267,00:01:27.3332721,00:00:32.8332105,00:01:17.3519326,00:01:29.4733018,00:01:54.5439990,00:01:11.1506587,00:01:39.1875744
