id,started,ended,realTime,Bomb Clip (1),Womps (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS,DDD (16),FS (Bowser),BLJS,BITS (Bowser)
55,2025-03-12 01:54:40,2025-03-12 01:55:45,,,,,,,,,,,,,
56,2025-03-12 01:55:46,2025-03-12 02:04:55,,00:01:48.3136174,00:03:29.7358644,00:01:26.6008945,,,,,,,,,
57,2025-03-12 02:04:57,2025-03-12 02:31:27,00:26:30.4689857,00:01:40.4299772,00:03:34.3136652,00:01:25.1948781,00:02:31.5039088,00:01:54.9445907,00:00:33.4071301,00:01:34.4808842,00:01:01.3698910,00:01:04.9440561,00:02:33.2276489,00:01:37.7928694,00:06:58.8594860
58,2025-03-12 02:32:43,2025-03-12 02:34:30,,,,,,,,,,,,,
59,2025-03-12 02:34:32,2025-03-12 02:35:41,,,,,,,,,,,,,
60,2025-03-12 02:35:42,2025-03-12 02:39:08,,00:01:53.9338200,,,,,,,,,,,
61,2025-03-12 02:39:10,2025-03-12 02:40:55,,,,,,,,,,,,,
62,2025-03-12 02:40:57,2025-03-12 02:42:01,,,,,,,,,,,,,
63,2025-03-12 02:42:03,2025-03-12 03:06:03,00:23:59.5090497,00:01:50.7528568,00:03:22.8943343,00:01:29.9614140,00:02:29.4977193,00:01:32.4228397,00:00:36.8040520,00:01:28.1208620,00:01:03.5268754,00:01:08.6179443,00:02:18.5168402,00:01:08.1861240,00:05:30.2071877
64,2025-03-12 03:06:22,2025-03-12 03:06:36,,,,,,,,,,,,,
65,2025-03-12 03:06:38,2025-03-12 03:08:27,,,,,,,,,,,,,
66,2025-03-12 03:08:28,2025-03-12 03:09:32,,,,,,,,,,,,,
67,2025-03-12 03:09:34,2025-03-12 03:32:45,00:23:10.8473053,00:01:47.5068586,00:03:51.5087752,00:01:30.0728678,00:02:18.7767386,00:01:39.5039107,00:00:35.6302429,00:01:24.0016396,00:01:30.2408662,00:00:59.7859766,00:02:05.1575951,00:01:10.4260626,00:04:18.2357714
68,2025-03-12 03:33:15,2025-03-12 03:34:20,,,,,,,,,,,,,
69,2025-03-12 03:34:21,2025-03-12 03:36:08,,,,,,,,,,,,,
70,2025-03-12 03:36:10,2025-03-12 03:37:29,,,,,,,,,,,,,
71,2025-03-12 03:37:32,2025-03-12 03:38:38,,,,,,,,,,,,,
72,2025-03-12 03:38:41,2025-03-12 03:38:47,,,,,,,,,,,,,
73,2025-03-12 03:38:50,2025-03-12 03:40:33,,,,,,,,,,,,,
74,2025-03-12 03:40:35,2025-03-12 04:04:24,00:23:49.3800765,00:01:42.9668036,00:03:25.5800119,00:01:27.5696956,00:03:23.6368538,00:01:34.7655966,00:00:36.7121556,00:01:23.8318866,00:00:48.3259712,00:01:04.3148864,00:02:43.4220516,00:01:18.5076033,00:04:19.7465603
75,2025-03-12 04:04:40,2025-03-12 04:05:56,,,,,,,,,,,,,
76,2025-03-12 04:05:58,2025-03-12 04:07:01,,,,,,,,,,,,,
77,2025-03-12 04:07:02,2025-03-12 04:08:07,,,,,,,,,,,,,
78,2025-03-12 04:08:09,2025-03-12 04:11:34,,00:01:55.1147152,,,,,,,,,,,
79,2025-03-12 04:11:36,2025-03-12 04:11:48,,,,,,,,,,,,,
80,2025-03-12 04:11:50,2025-03-12 04:13:33,,,,,,,,,,,,,
81,2025-03-12 04:13:36,2025-03-12 04:35:41,00:22:05.1705431,00:01:41.2159717,00:03:27.4878854,00:01:29.7138477,00:02:29.6099232,00:02:02.1887830,00:00:36.9188998,00:01:26.4079345,00:01:06.1119126,00:00:48.6530223,00:01:53.3377446,00:01:05.8167870,00:03:57.7078313
82,2025-03-12 04:37:44,2025-03-12 04:38:47,,,,,,,,,,,,,
83,2025-03-12 04:38:49,2025-03-12 04:48:29,,00:01:41.6600112,00:04:12.9726040,00:01:35.9329089,,,,,,,,,
84,2025-03-12 04:48:31,2025-03-12 04:49:34,,,,,,,,,,,,,
85,2025-03-12 04:49:35,2025-03-12 04:49:46,,,,,,,,,,,,,
