id,started,ended,realTime,BOB (1),WF (6),CCM (8),DW (Bowser),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),FS (Bowser),BLJs,BitS (Bowser)
111,2023-04-25 03:49:48,2023-04-25 04:17:14,,00:01:49.3572378,00:04:34.0080936,00:01:44.8827379,00:02:40.2143905,00:03:11.0738105,00:00:38.5656438,00:02:29.3982327,00:02:04.5124927,00:00:58.5533505,00:05:17.0094074,00:01:01.0548962,
112,2023-04-25 04:17:14,2023-04-25 04:19:01,,,,,,,,,,,,,
113,2023-04-25 04:19:01,2023-04-25 04:28:30,,00:01:39.5963405,00:03:47.1651658,00:01:41.8714119,,,,,,,,,
114,2023-04-25 04:28:30,2023-04-25 04:30:30,,,,,,,,,,,,,
115,2023-04-25 04:30:30,2023-04-25 04:41:52,,00:03:15.3656784,00:03:43.3517415,00:01:28.9473261,,,,,,,,,
116,2024-12-22 05:49:20,2024-12-22 06:02:34,,,,,,,,,,,,,
117,2024-12-22 06:02:46,2024-12-22 06:05:45,,,,,,,,,,,,,
118,2024-12-22 06:05:58,2024-12-22 06:06:10,,,,,,,,,,,,,
119,2024-12-22 06:06:12,2024-12-22 06:31:13,,00:02:11.4137786,00:04:57.9485640,00:01:29.7230316,00:02:27.5408967,00:03:27.2000377,00:00:37.7221219,00:02:10.2386274,00:01:31.6280957,00:01:19.1953548,00:02:04.4581904,00:01:39.4097036,
120,2024-12-22 06:31:33,2024-12-22 06:43:55,,00:02:02.1627021,00:04:15.3595060,00:01:59.6483945,,,,,,,,,
121,2024-12-22 06:43:58,2024-12-22 06:44:09,,,,,,,,,,,,,
122,2024-12-22 06:44:14,2024-12-22 06:54:38,,00:02:13.8008649,00:03:54.7660857,00:01:37.4590698,,,,,,,,,
123,2024-12-22 06:54:42,2024-12-22 06:54:52,,,,,,,,,,,,,
124,2024-12-22 06:54:55,2024-12-22 07:05:24,,00:02:11.3088146,00:03:40.1450440,00:01:43.4942914,,,,,,,,,
125,2024-12-22 07:05:27,2024-12-22 07:06:37,,,,,,,,,,,,,
126,2024-12-22 07:06:37,2024-12-22 07:20:26,,00:01:48.1643871,00:03:54.3326221,00:01:36.6503249,,,,,,,,,
127,2024-12-24 07:10:03,2024-12-24 07:39:33,00:29:30.8952954,00:02:03.8308013,00:03:51.0163098,00:01:37.2825396,00:02:51.0630819,00:02:16.2467023,00:00:43.0791746,00:01:33.2636613,00:01:19.5382369,00:01:21.3873734,00:02:26.9502846,00:01:52.1081363,00:07:35.1289934
128,2024-12-24 07:42:36,2024-12-24 07:44:34,,,,,,,,,,,,,
129,2024-12-24 07:44:34,2024-12-24 07:58:53,,00:01:48.4000361,00:04:38.0001070,00:01:47.0901980,00:02:39.5972625,00:02:54.8405952,,,,,,,
130,2024-12-24 07:59:32,2024-12-24 08:01:45,,,,,,,,,,,,,
131,2024-12-25 03:49:00,2024-12-25 03:49:09,,,,,,,,,,,,,
132,2024-12-25 03:49:09,2024-12-25 03:53:16,,00:02:05.5538130,,,,,,,,,,,
133,2024-12-25 03:53:27,2024-12-25 04:10:54,,00:02:05.8661680,00:04:38.2021952,00:01:30.4048732,,,,,,,,,
134,2024-12-25 04:10:57,2024-12-25 04:20:24,,00:02:08.1175105,00:03:49.2943260,00:01:37.1838328,,,,,,,,,
135,2024-12-25 04:20:26,2024-12-25 04:20:38,,,,,,,,,,,,,
136,2024-12-25 04:20:38,2024-12-25 04:21:46,,,,,,,,,,,,,
137,2024-12-25 04:21:46,2024-12-25 04:30:59,,00:02:05.6274002,00:03:47.7054091,00:01:30.7481337,,,,,,,,,
138,2024-12-25 04:31:02,2024-12-25 04:32:08,,,,,,,,,,,,,
139,2024-12-25 04:32:08,2024-12-25 04:42:06,,00:01:58.9419274,00:04:19.6986878,00:01:35.0155766,,,,,,,,,
140,2024-12-25 04:42:06,2024-12-25 04:42:24,,,,,,,,,,,,,
141,2024-12-25 04:42:24,2024-12-25 04:44:37,,,,,,,,,,,,,
142,2024-12-25 04:44:37,2024-12-25 04:44:46,,,,,,,,,,,,,
143,2024-12-25 04:44:46,2024-12-25 05:08:18,00:23:34.0307350,00:02:00.4649341,00:03:39.3910551,00:01:28.2517917,00:02:35.9194713,00:01:36.4287537,00:00:35.9804796,00:01:32.3287298,00:01:10.7861778,00:00:49.8054844,00:02:49.3126237,00:01:19.8685094,00:03:55.4927244
144,2024-12-25 05:13:40,2024-12-25 05:14:13,,,,,,,,,,,,,
145,2024-12-25 05:14:13,2024-12-25 05:17:27,,00:01:56.8095548,,,,,,,,,,,
146,2024-12-25 05:17:27,2024-12-25 05:17:36,,,,,,,,,,,,,
147,2024-12-25 05:17:36,2024-12-25 05:26:53,,00:02:02.3466383,00:04:17.5115619,00:01:35.1558569,,,,,,,,,
148,2024-12-25 05:26:57,2024-12-25 05:27:08,,,,,,,,,,,,,
149,2024-12-25 05:27:08,2024-12-25 05:39:14,,00:01:58.7977196,00:03:57.9719374,00:01:35.9300604,,,,,,,,,
150,2024-12-25 05:39:14,2024-12-25 06:00:22,,00:02:02.6770054,00:03:39.9330543,00:01:30.5787948,00:04:36.8719892,00:02:37.3761089,00:00:34.7793196,,,,,,
151,2024-12-25 06:00:22,2024-12-25 06:04:05,,00:02:03.2524472,,,,,,,,,,,
152,2024-12-25 06:04:05,2024-12-25 06:12:20,,00:02:07.8586619,00:03:35.8783752,,,,,,,,,,
153,2024-12-25 06:12:20,2024-12-25 06:22:05,,00:02:08.6847250,00:03:41.1707935,00:01:28.0002950,,,,,,,,,
154,2024-12-27 06:35:21,2024-12-27 06:45:06,,00:02:05.8662377,00:03:55.5476516,00:01:24.8079856,,,,,,,,,
155,2024-12-27 06:45:06,2024-12-27 06:47:03,,,,,,,,,,,,,
156,2024-12-27 06:47:03,2024-12-27 06:48:45,,,,,,,,,,,,,
157,2024-12-27 06:48:45,2024-12-27 06:58:27,,00:02:06.9901727,00:03:43.7591026,00:01:34.3219731,,,,,,,,,
158,2024-12-27 06:58:27,2024-12-27 07:02:10,,00:01:54.3746316,,,,,,,,,,,
159,2024-12-27 07:02:10,2024-12-27 07:03:12,,,,,,,,,,,,,
160,2024-12-27 07:03:12,2024-12-27 07:03:20,,,,,,,,,,,,,
161,2024-12-27 07:03:20,2024-12-27 07:05:15,,,,,,,,,,,,,
162,2024-12-27 07:05:15,2024-12-27 07:07:04,,,,,,,,,,,,,
163,2024-12-27 07:07:04,2024-12-27 07:12:48,,00:02:03.0972460,,,,,,,,,,,
164,2024-12-27 07:12:48,2024-12-27 07:15:57,,00:01:58.8943051,,,,,,,,,,,
165,2024-12-27 07:15:57,2024-12-27 07:17:00,,,,,,,,,,,,,
166,2024-12-27 07:17:00,2024-12-27 07:18:50,,,,,,,,,,,,,
167,2024-12-27 07:18:50,2024-12-27 07:42:39,,00:02:06.7273259,00:03:43.8205386,00:01:25.8919427,00:02:23.8729417,00:01:43.3439821,00:00:34.0186470,00:01:35.0767151,00:01:05.2509902,00:01:03.9059112,00:02:21.6088132,00:01:39.3132207,
168,2024-12-27 07:42:39,2024-12-27 07:42:47,,,,,,,,,,,,,
169,2024-12-27 07:42:47,2024-12-27 07:46:40,,00:01:57.1375579,,,,,,,,,,,
170,2024-12-27 07:46:40,2024-12-27 07:50:34,,00:01:58.1942723,,,,,,,,,,,
171,2024-12-27 07:50:34,2024-12-27 08:12:04,,00:01:55.9499638,00:03:51.6719958,00:01:27.6891037,00:02:32.2462956,00:02:16.4402621,00:00:35.2518953,00:02:01.0752584,00:01:14.4551790,00:00:55.2159861,00:02:03.2801464,,
172,2024-12-27 08:12:04,2024-12-27 08:12:57,,,,,,,,,,,,,
173,2024-12-27 08:12:57,2024-12-27 08:15:06,,,,,,,,,,,,,
174,2024-12-27 08:15:06,2024-12-27 08:18:49,,00:01:55.3603292,,,,,,,,,,,
175,2024-12-27 08:18:49,2024-12-27 08:19:05,,,,,,,,,,,,,
176,2024-12-27 08:19:05,2024-12-27 08:22:43,,00:02:20.3557998,,,,,,,,,,,
177,2024-12-27 08:22:43,2024-12-27 08:32:13,,00:01:58.2184071,00:03:44.5649669,,,,,,,,,,
178,2024-12-27 08:32:13,2024-12-27 08:55:36,00:23:24.5753696,00:01:56.5932569,00:03:49.9254584,00:01:48.1863536,00:02:38.3750277,00:01:31.2392990,00:00:38.2579189,00:02:22.8012951,00:00:47.1695648,00:00:58.6846025,00:01:47.8587646,00:02:11.7068644,00:02:53.7769637
179,2024-12-30 01:57:20,2024-12-30 02:25:07,00:27:47.5423752,00:01:41.1935439,00:03:53.8868057,00:01:32.9504062,00:02:24.8588160,00:01:52.9866010,00:00:33.6529807,00:01:30.8609495,00:00:51.5004894,00:01:01.8918643,00:08:36.4513977,00:01:15.1071055,00:02:32.2014153
180,2024-12-30 02:25:23,2024-12-30 02:29:15,,00:02:04.5653898,,,,,,,,,,,
181,2024-12-30 02:29:15,2024-12-30 02:38:29,,00:02:05.3044543,00:03:32.0712527,00:01:37.9570808,,,,,,,,,
182,2024-12-30 02:38:29,2024-12-30 02:52:50,,00:02:04.6871956,00:06:23.5151517,,,,,,,,,,
183,2024-12-30 02:52:50,2024-12-30 02:56:19,,00:02:08.0171794,,,,,,,,,,,
184,2024-12-30 02:56:19,2024-12-30 02:56:28,,,,,,,,,,,,,
185,2024-12-30 02:56:28,2024-12-30 02:59:08,,00:02:09.7693197,,,,,,,,,,,
186,2024-12-30 02:59:08,2024-12-30 03:03:21,,00:01:39.1310488,,,,,,,,,,,
187,2024-12-30 03:03:21,2024-12-30 03:26:45,00:23:25.3763889,00:01:51.8598633,00:03:38.0653931,00:01:36.0163275,00:02:39.3423557,00:01:35.1838506,00:00:36.8428685,00:01:30.4075361,00:01:39.6627877,00:00:57.7458045,00:01:48.0467254,00:01:50.5666753,00:03:41.6362012
188,2024-12-30 03:53:35,2024-12-30 03:53:46,,,,,,,,,,,,,
189,2024-12-30 03:53:46,2024-12-30 04:03:23,,00:01:49.0486395,00:03:48.5626297,00:01:27.5785329,,,,,,,,,
190,2024-12-30 04:03:23,2024-12-30 04:28:26,,00:02:03.6889998,00:03:46.2041041,00:01:51.3160498,00:02:39.6737244,00:01:31.1331386,00:00:41.8462295,00:01:58.9473580,00:02:07.6905510,00:00:54.8444153,00:01:59.6702739,00:03:47.8246029,
191,2024-12-30 04:28:26,2024-12-30 04:37:49,,00:01:51.6306426,00:03:40.9815877,00:01:30.7798472,,,,,,,,,
