id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
550,2024-08-18 10:31:40,2024-08-18 10:32:50,,,,,,,,,,,,
551,2024-08-18 10:32:50,2024-08-18 10:35:11,,00:01:34.9892488,,,,,,,,,,
552,2024-08-18 10:35:11,2024-08-18 10:38:08,,00:01:33.5844630,,,,,,,,,,
553,2024-08-18 10:38:08,2024-08-18 10:39:09,,,,,,,,,,,,
554,2024-08-18 10:39:09,2024-08-18 10:42:24,,00:01:34.0737747,,,,,,,,,,
555,2024-08-18 10:42:24,2024-08-18 10:42:31,,,,,,,,,,,,
556,2024-08-18 10:42:31,2024-08-18 10:43:44,,,,,,,,,,,,
557,2024-08-18 10:43:44,2024-08-18 10:46:03,,00:01:34.9535348,,,,,,,,,,
558,2024-08-18 10:46:03,2024-08-18 10:49:19,,00:01:33.9387512,,,,,,,,,,
559,2024-08-18 10:49:19,2024-08-18 10:51:37,,00:01:37.0108844,,,,,,,,,,
560,2024-08-18 10:51:37,2024-08-18 11:04:20,,00:01:37.4181103,00:02:55.4925145,00:01:16.6605981,00:01:59.8657497,00:01:19.1620057,00:01:10.0600015,00:00:43.7572091,,00:00:46.5036806,,
561,2024-08-18 11:04:20,2024-08-18 11:04:32,,,,,,,,,,,,
562,2024-08-18 11:04:32,2024-08-18 11:09:00,,00:01:34.1240518,,,,,,,,,,
563,2024-08-18 11:09:00,2024-08-18 11:10:02,,,,,,,,,,,,
564,2024-08-18 11:10:02,2024-08-18 11:13:40,,00:01:34.9648975,,,,,,,,,,
565,2024-08-18 11:13:40,2024-08-18 11:29:56,00:16:17.6666137,00:01:34.3914218,00:02:51.6833629,00:01:16.1291083,00:01:52.2489106,00:01:24.2503615,00:01:03.6738667,00:00:44.0550488,00:01:01.4082222,00:00:41.6927482,00:01:24.4463158,00:01:41.8564610
566,2024-08-18 11:30:56,2024-08-18 11:43:51,,00:01:33.9022236,00:02:51.8771754,00:01:18.7581471,00:01:56.0667909,00:01:25.1926610,00:01:00.9817713,00:00:43.9797467,,00:00:42.0782969,,
567,2024-08-18 11:43:51,2024-08-18 11:44:52,,,,,,,,,,,,
568,2024-08-18 11:44:52,2024-08-18 11:44:59,,,,,,,,,,,,
569,2024-08-18 11:44:59,2024-08-18 11:47:44,,00:01:33.6357577,,,,,,,,,,
570,2024-08-18 11:47:44,2024-08-18 11:50:25,,00:01:33.5871765,,,,,,,,,,
571,2024-08-18 11:50:25,2024-08-18 11:51:55,,,,,,,,,,,,
572,2024-08-18 11:51:55,2024-08-18 11:54:45,,00:01:34.4396515,,,,,,,,,,
573,2024-08-18 11:54:45,2024-08-18 11:56:18,,,,,,,,,,,,
574,2024-08-18 11:56:18,2024-08-18 11:58:40,,00:01:35.9168981,,,,,,,,,,
575,2024-08-18 11:58:40,2024-08-18 12:05:12,,00:01:34.4591504,00:02:52.0196630,00:01:20.7032292,,,,,,,,
576,2024-08-18 12:05:12,2024-08-18 12:06:13,,,,,,,,,,,,
577,2024-08-18 12:06:13,2024-08-18 12:06:20,,,,,,,,,,,,
578,2024-08-18 12:06:20,2024-08-18 12:13:14,,00:01:33.4953004,00:02:59.4591465,00:01:16.4911879,,,,,,,,
579,2024-08-18 12:13:14,2024-08-18 12:13:21,,,,,,,,,,,,
580,2024-08-18 12:13:21,2024-08-18 12:15:11,,,,,,,,,,,,
581,2024-08-18 12:15:11,2024-08-18 12:17:34,,00:01:33.7384297,,,,,,,,,,
582,2024-08-18 12:17:34,2024-08-18 12:18:31,,,,,,,,,,,,
583,2024-08-18 12:18:31,2024-08-18 12:21:18,,00:01:33.5664371,,,,,,,,,,
584,2024-08-18 12:21:18,2024-08-18 12:21:26,,,,,,,,,,,,
585,2024-08-18 12:21:26,2024-08-18 12:22:27,,,,,,,,,,,,
586,2024-08-18 12:22:27,2024-08-18 12:24:51,,00:01:36.0194201,,,,,,,,,,
587,2024-08-18 12:24:51,2024-08-18 12:24:58,,,,,,,,,,,,
588,2024-08-18 12:24:58,2024-08-18 12:25:06,,,,,,,,,,,,
589,2024-08-18 12:25:06,2024-08-18 12:26:41,,,,,,,,,,,,
590,2024-08-18 12:26:41,2024-08-18 12:30:43,,00:01:35.4587033,,,,,,,,,,
591,2024-08-18 12:30:43,2024-08-18 12:45:46,,00:01:35.4490376,00:02:58.4703639,00:01:17.6489060,00:01:50.2241109,00:01:19.2379448,00:01:03.4599149,00:00:43.4793002,00:01:05.6407306,00:00:52.2724186,00:01:34.1297728,
592,2024-08-18 12:45:46,2024-08-18 12:50:55,,00:01:35.9210918,00:02:54.4889057,,,,,,,,,
593,2024-08-18 12:50:55,2024-08-18 12:57:11,,00:01:35.2158942,00:03:01.7315468,00:01:18.6535327,,,,,,,,
594,2024-08-18 12:57:11,2024-08-18 12:59:32,,00:01:36.2276322,,,,,,,,,,
595,2024-08-18 12:59:32,2024-08-18 12:59:40,,,,,,,,,,,,
596,2024-08-18 12:59:40,2024-08-18 13:12:17,,00:01:33.6914928,00:02:58.3439622,00:01:16.9926991,00:01:51.3777819,00:01:24.8655988,00:01:00.7360618,00:00:43.8588478,,00:00:48.8362877,,
597,2024-08-18 13:12:17,2024-08-18 13:12:25,,,,,,,,,,,,
598,2024-08-18 13:12:25,2024-08-18 13:13:28,,,,,,,,,,,,
599,2024-08-18 13:13:28,2024-08-18 13:14:29,,,,,,,,,,,,
600,2024-08-18 13:14:29,2024-08-18 13:15:31,,,,,,,,,,,,
601,2024-08-18 13:15:31,2024-08-18 13:18:21,,00:01:35.9086492,,,,,,,,,,
602,2024-08-18 13:18:21,2024-08-18 13:19:48,,,,,,,,,,,,
603,2024-08-18 13:19:48,2024-08-18 13:26:39,,00:01:34.6078289,00:02:59.3766704,00:01:16.0118801,,,,,,,,
604,2024-08-18 13:26:39,2024-08-18 13:30:20,,00:01:34.7108964,,,,,,,,,,
605,2024-08-18 13:30:20,2024-08-18 13:33:59,,00:01:33.9770802,,,,,,,,,,
606,2024-08-18 13:33:59,2024-08-18 13:35:01,,,,,,,,,,,,
607,2024-08-18 13:35:01,2024-08-18 13:46:42,,00:01:36.2858747,00:02:54.4502546,00:01:22.4740723,00:01:55.6028849,00:01:18.7910107,00:01:03.5512823,00:00:44.8654843,,,,
608,2024-08-18 13:46:42,2024-08-18 13:46:52,,,,,,,,,,,,
609,2024-08-18 13:46:52,2024-08-18 13:53:27,,00:01:35.5557443,00:02:54.3297853,00:01:25.6382406,,,,,,,,
610,2024-08-18 13:53:27,2024-08-18 13:53:38,,,,,,,,,,,,
611,2024-08-18 13:53:38,2024-08-18 13:53:47,,,,,,,,,,,,
612,2024-08-18 13:53:47,2024-08-18 13:54:49,,,,,,,,,,,,
613,2024-08-18 13:54:49,2024-08-18 14:10:13,,00:01:34.9900970,00:02:54.5961524,00:01:19.2274237,00:02:01.6320249,00:01:19.8999693,00:00:58.4732839,00:00:43.5853131,,00:00:41.9568608,,
614,2024-08-18 14:10:13,2024-08-18 14:10:22,,,,,,,,,,,,
615,2024-08-18 14:10:22,2024-08-18 14:10:31,,,,,,,,,,,,
616,2024-08-18 14:10:31,2024-08-18 14:21:51,,00:01:33.6224832,00:02:54.7867541,00:01:17.6849162,00:02:05.5432484,,,,,,,
617,2024-08-18 14:21:51,2024-08-18 14:32:54,,00:01:36.8474733,,,,,,,,,,
618,2024-08-18 14:32:54,2024-08-18 14:39:27,,00:01:33.5852435,00:02:57.3303101,00:01:22.5503563,,,,,,,,
619,2024-08-18 14:39:27,2024-08-18 14:41:00,,,,,,,,,,,,
620,2024-08-18 14:41:00,2024-08-18 14:47:48,,00:01:36.1065879,00:02:59.0933771,00:01:16.6278350,,,,,,,,
621,2024-08-18 14:47:48,2024-08-18 14:51:16,,,,,,,,,,,,
622,2024-08-18 14:51:16,2024-08-18 15:02:36,,00:01:34.9917494,00:03:05.3252628,00:01:16.9239817,00:01:54.1883130,00:01:22.1753180,00:00:58.3018922,00:00:50.7432862,,,,
623,2024-08-18 15:02:36,2024-08-18 15:03:38,,,,,,,,,,,,
624,2024-08-18 15:03:38,2024-08-18 15:06:29,,00:01:33.4848954,,,,,,,,,,
625,2024-08-18 15:06:29,2024-08-18 15:18:12,,00:01:33.6655303,00:02:53.3218836,00:01:17.6161310,00:01:50.7591498,00:01:27.7873369,00:01:03.2040446,,,,,
626,2024-08-18 15:18:12,2024-08-18 15:19:13,,,,,,,,,,,,
627,2024-08-18 15:19:13,2024-08-18 15:21:33,,00:01:33.5034728,,,,,,,,,,
628,2024-08-18 15:21:33,2024-08-18 15:21:41,,,,,,,,,,,,
629,2024-08-18 15:21:41,2024-08-18 15:37:12,,00:01:35.2388375,00:02:57.7212286,00:01:16.3916490,00:01:50.0965611,00:01:22.5022457,00:01:01.4792579,00:00:43.6152622,00:00:57.5157882,00:00:44.3888870,00:01:24.9937855,
630,2024-08-18 15:37:12,2024-08-18 15:38:13,,,,,,,,,,,,
631,2024-08-18 15:38:13,2024-08-18 15:42:45,,00:01:34.3523317,,,,,,,,,,
632,2024-08-18 15:42:45,2024-08-18 15:44:19,,,,,,,,,,,,
633,2024-08-18 15:44:19,2024-08-18 15:45:21,,,,,,,,,,,,
634,2024-08-18 15:45:21,2024-08-18 15:45:29,,,,,,,,,,,,
635,2024-08-18 15:45:29,2024-08-18 15:45:37,,,,,,,,,,,,
636,2024-08-18 15:45:37,2024-08-18 15:46:46,,,,,,,,,,,,
637,2024-08-18 15:46:46,2024-08-18 16:01:45,,00:01:35.6665901,00:02:54.2009247,00:01:21.4189943,00:01:51.7247946,00:01:23.7268655,00:01:00.8527105,00:00:44.1906869,00:00:54.2233495,00:00:42.0045758,00:01:33.2408131,
638,2024-08-18 16:01:45,2024-08-18 16:04:29,,00:01:36.6196355,,,,,,,,,,
639,2024-08-18 16:04:29,2024-08-18 16:06:49,,00:01:34.7412587,,,,,,,,,,
640,2024-08-18 16:06:49,2024-08-18 16:08:19,,,,,,,,,,,,
641,2024-08-18 16:08:19,2024-08-18 16:09:48,,,,,,,,,,,,
642,2024-08-18 16:09:48,2024-08-18 16:12:42,,00:01:36.9446944,,,,,,,,,,
643,2024-08-18 16:12:42,2024-08-18 16:17:18,,00:01:33.6636005,,,,,,,,,,
644,2024-08-18 16:17:18,2024-08-18 16:18:21,,,,,,,,,,,,
645,2024-08-18 16:18:21,2024-08-18 16:28:35,,00:01:33.5127294,00:03:00.3419502,00:01:16.9811488,00:01:51.4347087,00:01:22.0645354,,,,,,
646,2024-08-18 16:28:35,2024-08-18 16:28:43,,,,,,,,,,,,
647,2024-08-18 16:28:43,2024-08-18 16:31:27,,00:01:34.0411190,,,,,,,,,,
648,2024-08-18 16:31:27,2024-08-18 16:33:50,,00:01:33.9358579,,,,,,,,,,
649,2024-08-18 16:33:50,2024-08-18 16:34:51,,,,,,,,,,,,
650,2024-08-18 16:34:51,2024-08-18 16:35:53,,,,,,,,,,,,
651,2024-08-18 16:35:53,2024-08-18 16:38:15,,00:01:34.8710336,,,,,,,,,,
652,2024-08-18 16:38:15,2024-08-18 16:38:23,,,,,,,,,,,,
653,2024-08-18 16:38:23,2024-08-18 16:39:25,,,,,,,,,,,,
654,2024-08-18 16:39:25,2024-08-18 16:40:34,,,,,,,,,,,,
655,2024-08-18 16:40:34,2024-08-18 16:41:35,,,,,,,,,,,,
656,2024-08-18 16:41:35,2024-08-18 16:43:57,,00:01:34.7282424,,,,,,,,,,
657,2024-08-18 16:43:57,2024-08-18 16:44:58,,,,,,,,,,,,
658,2024-08-18 16:44:58,2024-08-18 16:45:09,,,,,,,,,,,,
659,2024-08-18 16:45:09,2024-08-18 16:46:11,,,,,,,,,,,,
660,2024-08-18 16:46:11,2024-08-18 16:46:20,,,,,,,,,,,,
661,2024-08-18 16:46:20,2024-08-18 16:47:25,,,,,,,,,,,,
662,2024-08-18 16:47:25,2024-08-18 16:49:20,,,,,,,,,,,,
663,2024-08-18 16:49:20,2024-08-18 16:52:12,,,,,,,,,,,,
664,2024-08-19 09:34:08,2024-08-19 09:38:44,,00:01:34.7954489,,,,,,,,,,
665,2024-08-19 09:38:44,2024-08-19 09:38:51,,,,,,,,,,,,
666,2024-08-19 09:38:51,2024-08-19 09:39:53,,,,,,,,,,,,
667,2024-08-19 09:39:53,2024-08-19 09:40:54,,,,,,,,,,,,
668,2024-08-19 09:40:54,2024-08-19 09:56:25,,00:01:33.7122140,00:02:59.7567705,00:01:18.0781965,00:01:51.7968504,00:01:22.3145887,00:00:58.5094102,00:00:44.0111371,00:00:57.2300608,00:00:41.5379324,00:01:24.4205129,
669,2024-08-19 09:56:25,2024-08-19 09:56:36,,,,,,,,,,,,
670,2024-08-19 09:56:36,2024-08-19 09:56:43,,,,,,,,,,,,
671,2024-08-19 09:56:43,2024-08-19 09:57:44,,,,,,,,,,,,
672,2024-08-19 09:57:44,2024-08-19 09:57:52,,,,,,,,,,,,
673,2024-08-19 09:57:52,2024-08-19 10:00:15,,00:01:35.5571239,,,,,,,,,,
674,2024-08-19 10:00:15,2024-08-19 10:01:17,,,,,,,,,,,,
675,2024-08-19 10:01:17,2024-08-19 10:02:18,,,,,,,,,,,,
676,2024-08-19 10:02:18,2024-08-19 10:02:26,,,,,,,,,,,,
677,2024-08-19 10:02:26,2024-08-19 10:08:56,,00:01:33.6707788,00:02:53.3780108,00:01:16.6875367,,,,,,,,
678,2024-08-19 10:08:56,2024-08-19 10:09:04,,,,,,,,,,,,
679,2024-08-19 10:09:04,2024-08-19 10:10:28,,,,,,,,,,,,
680,2024-08-19 10:10:28,2024-08-19 10:23:02,,00:01:33.9734848,00:02:59.5087400,00:01:16.3647238,00:01:52.2938135,00:01:26.6776267,00:01:05.2562424,00:00:43.5827349,,00:00:43.5169364,,
681,2024-08-19 10:23:02,2024-08-19 10:29:54,,00:01:33.6013239,00:02:59.6561278,00:01:20.2626901,,,,,,,,
682,2024-08-19 10:29:54,2024-08-19 10:32:39,,00:01:34.6522469,,,,,,,,,,
683,2024-08-19 10:32:39,2024-08-19 10:38:31,,00:01:35.0612021,00:02:57.4480290,,,,,,,,,
684,2024-08-19 10:38:31,2024-08-19 10:40:04,,,,,,,,,,,,
685,2024-08-19 10:40:04,2024-08-19 10:49:02,,00:01:34.6694280,00:02:52.1104974,00:01:18.0018708,,,,,,,,
686,2024-08-19 10:49:02,2024-08-19 10:50:04,,,,,,,,,,,,
687,2024-08-19 10:50:04,2024-08-19 11:01:11,,00:01:33.6521704,00:02:54.7266605,00:01:18.6859294,00:01:53.9545566,00:01:20.1135608,00:01:03.5185306,,,,,
688,2024-08-19 11:01:11,2024-08-19 11:03:32,,00:01:35.5152959,,,,,,,,,,
689,2024-08-19 11:03:32,2024-08-19 11:04:34,,,,,,,,,,,,
690,2024-08-19 11:04:34,2024-08-19 11:17:09,,00:01:33.7010041,00:02:54.9116247,00:01:16.6346606,00:01:54.8309247,00:01:19.1253265,00:01:03.9992468,00:00:44.6219945,,00:00:49.3096536,,
691,2024-08-19 11:17:09,2024-08-19 11:20:21,,00:01:34.2534522,,,,,,,,,,
692,2024-08-19 11:20:21,2024-08-19 11:20:29,,,,,,,,,,,,
693,2024-08-19 11:20:29,2024-08-19 11:24:34,,00:01:33.9725769,,,,,,,,,,
694,2024-08-19 11:24:34,2024-08-19 11:24:41,,,,,,,,,,,,
695,2024-08-19 11:24:41,2024-08-19 11:26:17,,,,,,,,,,,,
696,2024-08-19 11:26:17,2024-08-19 11:27:47,,,,,,,,,,,,
697,2024-08-19 11:27:47,2024-08-19 11:29:13,,,,,,,,,,,,
698,2024-08-19 11:29:13,2024-08-19 11:30:14,,,,,,,,,,,,
699,2024-08-19 11:30:14,2024-08-19 11:31:48,,,,,,,,,,,,
700,2024-08-19 11:31:48,2024-08-19 11:44:43,,00:01:34.7361868,00:03:00.3047178,00:01:20.3616637,00:01:51.4850532,00:01:20.0059092,00:00:58.5785792,00:00:44.0175360,,00:00:48.0737547,,
701,2024-08-19 11:44:44,2024-08-19 11:44:53,,,,,,,,,,,,
702,2024-08-19 11:44:53,2024-08-19 11:53:26,,00:01:33.5010604,00:02:57.1712073,00:01:16.7185263,00:01:57.7181347,,,,,,,
703,2024-08-19 11:53:26,2024-08-19 11:54:27,,,,,,,,,,,,
704,2024-08-19 11:54:27,2024-08-19 11:58:03,,00:01:33.9588539,,,,,,,,,,
705,2024-08-19 11:58:03,2024-08-19 11:58:11,,,,,,,,,,,,
706,2024-08-19 11:58:11,2024-08-19 12:14:01,,00:01:34.1925565,00:03:00.7852858,00:01:17.8026322,00:01:56.5659878,00:01:24.4326151,00:01:01.0083693,00:00:43.4530918,,00:00:41.8600629,00:01:22.7106648,
707,2024-08-19 12:14:01,2024-08-19 12:14:10,,,,,,,,,,,,
708,2024-08-19 12:14:10,2024-08-19 12:16:32,,00:01:34.7451551,,,,,,,,,,
709,2024-08-19 12:16:32,2024-08-19 12:28:00,,00:01:35.9436859,00:02:57.6633981,00:01:17.4925467,00:01:56.1277300,00:01:26.5568772,00:00:58.3532572,00:00:43.8967417,,,,
710,2024-08-19 12:28:01,2024-08-19 12:28:13,,,,,,,,,,,,
711,2024-08-19 12:28:13,2024-08-19 12:28:20,,,,,,,,,,,,
712,2024-08-19 12:28:20,2024-08-19 12:30:38,,00:01:33.7544131,,,,,,,,,,
713,2024-08-19 12:30:38,2024-08-19 12:52:14,,00:01:33.8357580,00:02:51.6553914,00:01:16.9416834,00:01:52.2590541,00:01:19.7673559,00:01:06.4057007,00:00:43.5723275,00:00:56.8175241,00:00:50.8708893,00:01:23.8607362,
714,2024-08-19 12:52:14,2024-08-19 12:52:23,,,,,,,,,,,,
715,2024-08-19 12:52:23,2024-08-19 12:53:53,,,,,,,,,,,,
716,2024-08-19 12:53:53,2024-08-19 12:56:12,,00:01:34.9358690,,,,,,,,,,
717,2024-08-19 12:56:12,2024-08-19 12:58:34,,00:01:33.5281221,,,,,,,,,,
718,2024-08-19 12:58:34,2024-08-19 12:58:42,,,,,,,,,,,,
719,2024-08-19 12:58:42,2024-08-19 13:01:28,,00:01:33.6565883,,,,,,,,,,
720,2024-08-19 13:01:28,2024-08-19 13:01:36,,,,,,,,,,,,
721,2024-08-19 13:01:36,2024-08-19 13:02:40,,,,,,,,,,,,
722,2024-08-19 13:02:40,2024-08-19 13:09:12,,00:01:34.0977923,00:02:58.1321108,00:01:16.7172767,,,,,,,,
723,2024-08-19 13:09:12,2024-08-19 13:09:20,,,,,,,,,,,,
724,2024-08-19 13:09:20,2024-08-19 13:09:55,,,,,,,,,,,,
725,2024-08-19 13:09:55,2024-08-19 13:12:46,,00:01:33.4656755,,,,,,,,,,
726,2024-08-19 13:12:46,2024-08-19 13:13:47,,,,,,,,,,,,
727,2024-08-19 13:13:47,2024-08-19 13:16:03,,00:01:34.2807510,,,,,,,,,,
728,2024-08-19 13:16:03,2024-08-19 13:20:32,,,,,,,,,,,,
729,2024-08-19 13:20:32,2024-08-19 13:20:40,,,,,,,,,,,,
730,2024-08-19 13:20:40,2024-08-19 13:35:27,,00:01:34.6076580,00:02:53.2201194,00:01:16.1441176,00:01:53.3618679,00:01:19.3045206,00:00:58.4932085,00:00:43.5620812,00:01:04.9445148,00:00:41.8137735,00:01:34.4669387,
731,2024-08-19 13:35:27,2024-08-19 13:37:48,,00:01:33.6452217,,,,,,,,,,
732,2024-08-19 13:37:48,2024-08-19 13:38:49,,,,,,,,,,,,
733,2024-08-19 13:38:49,2024-08-19 13:40:26,,,,,,,,,,,,
734,2024-08-19 13:40:26,2024-08-19 13:41:37,,,,,,,,,,,,
735,2024-08-19 13:41:37,2024-08-19 13:43:56,,00:01:34.6353165,,,,,,,,,,
736,2024-08-19 13:43:56,2024-08-19 13:45:04,,,,,,,,,,,,
737,2024-08-19 13:45:04,2024-08-19 13:45:17,,,,,,,,,,,,
738,2024-08-19 13:45:17,2024-08-19 13:46:18,,,,,,,,,,,,
739,2024-08-19 13:46:18,2024-08-19 13:47:20,,,,,,,,,,,,
740,2024-08-19 13:47:20,2024-08-19 13:48:53,,,,,,,,,,,,
741,2024-08-19 13:48:53,2024-08-19 13:51:11,,00:01:33.8418588,,,,,,,,,,
742,2024-08-19 13:51:11,2024-08-19 13:52:13,,,,,,,,,,,,
743,2024-08-19 13:52:13,2024-08-19 13:53:14,,,,,,,,,,,,
744,2024-08-19 13:53:14,2024-08-19 14:00:10,,00:01:34.5414034,00:02:59.8662839,00:01:18.5546604,,,,,,,,
745,2024-08-19 14:00:10,2024-08-19 14:01:40,,,,,,,,,,,,
746,2024-08-19 14:01:40,2024-08-19 14:01:48,,,,,,,,,,,,
747,2024-08-19 14:01:48,2024-08-19 14:02:57,,,,,,,,,,,,
748,2024-08-19 14:02:57,2024-08-19 14:05:20,,00:01:33.9917560,,,,,,,,,,
749,2024-08-19 14:05:20,2024-08-19 14:07:43,,00:01:34.5102448,,,,,,,,,,
750,2024-08-19 14:07:43,2024-08-19 14:08:47,,,,,,,,,,,,
751,2024-08-19 14:08:47,2024-08-19 14:15:43,,00:01:33.7050045,00:03:00.4188432,00:01:18.6902517,,,,,,,,
752,2024-08-19 14:15:43,2024-08-19 14:18:30,,00:01:33.7034854,,,,,,,,,,
753,2024-08-19 14:18:30,2024-08-19 14:18:38,,,,,,,,,,,,
754,2024-08-19 14:18:38,2024-08-19 14:33:54,,00:01:34.3206685,00:02:54.2443117,00:01:16.3325955,00:01:51.2865416,00:01:25.2196957,00:00:58.1806271,00:00:43.7078199,00:01:16.5908541,00:00:41.4494508,00:01:27.4329749,
755,2024-08-19 14:33:54,2024-08-19 14:46:41,,00:01:33.5803199,00:02:53.1382873,00:01:17.6405939,00:01:58.3774183,00:01:20.5880953,00:00:59.8516515,00:00:43.6690250,,00:00:49.6619897,,
756,2024-08-19 14:46:41,2024-08-19 14:46:50,,,,,,,,,,,,
757,2024-08-19 14:46:50,2024-08-19 14:46:59,,,,,,,,,,,,
758,2024-08-19 14:46:59,2024-08-19 14:55:44,,00:01:34.4201592,00:02:56.2815802,00:01:22.2284300,00:01:50.9379534,,,,,,,
759,2024-08-19 14:55:44,2024-08-19 14:55:55,,,,,,,,,,,,
760,2024-08-19 14:55:55,2024-08-19 14:56:56,,,,,,,,,,,,
761,2024-08-19 14:56:56,2024-08-19 14:57:04,,,,,,,,,,,,
762,2024-08-19 14:57:04,2024-08-19 15:00:21,,00:01:34.1414727,,,,,,,,,,
763,2024-08-20 12:13:15,2024-08-20 12:13:23,,,,,,,,,,,,
764,2024-08-20 12:13:23,2024-08-20 12:15:46,,00:01:33.6358687,,,,,,,,,,
765,2024-08-20 12:15:46,2024-08-20 12:15:53,,,,,,,,,,,,
766,2024-08-20 12:15:54,2024-08-20 12:18:14,,00:01:33.7985854,,,,,,,,,,
767,2024-08-20 12:18:14,2024-08-20 12:18:21,,,,,,,,,,,,
768,2024-08-20 12:18:21,2024-08-20 12:19:23,,,,,,,,,,,,
769,2024-08-20 12:19:23,2024-08-20 12:21:44,,00:01:34.3854362,,,,,,,,,,
770,2024-08-20 12:21:44,2024-08-20 12:32:38,,00:01:33.6239416,00:02:53.8072322,00:01:25.8327395,00:01:54.2869973,00:01:21.0823805,00:01:02.1848026,,,,,
771,2024-08-20 12:32:38,2024-08-20 12:39:13,,00:01:33.8139713,00:02:52.1832559,00:01:17.1199724,,,,,,,,
772,2024-08-20 12:39:13,2024-08-20 12:40:42,,,,,,,,,,,,
773,2024-08-20 12:40:42,2024-08-20 12:40:50,,,,,,,,,,,,
774,2024-08-20 12:40:50,2024-08-20 12:43:37,,00:01:35.9003610,,,,,,,,,,
775,2024-08-20 12:43:37,2024-08-20 12:50:27,,00:01:33.9525493,00:02:59.5201346,00:01:19.5145594,,,,,,,,
776,2024-08-20 12:50:27,2024-08-20 12:52:47,,00:01:34.3087453,,,,,,,,,,
777,2024-08-20 12:52:47,2024-08-20 12:55:04,,00:01:33.9387455,,,,,,,,,,
778,2024-08-20 12:55:04,2024-08-20 12:55:11,,,,,,,,,,,,
779,2024-08-20 12:55:11,2024-08-20 12:58:23,,00:01:33.5317689,,,,,,,,,,
780,2024-08-20 12:58:23,2024-08-20 12:58:31,,,,,,,,,,,,
781,2024-08-20 12:58:31,2024-08-20 13:03:50,,00:01:33.7603459,00:02:58.6232547,,,,,,,,,
782,2024-08-20 13:03:50,2024-08-20 13:06:38,,00:01:35.0437514,,,,,,,,,,
783,2024-08-20 13:06:38,2024-08-20 13:06:46,,,,,,,,,,,,
784,2024-08-20 13:06:46,2024-08-20 13:08:10,,,,,,,,,,,,
785,2024-08-20 13:08:10,2024-08-20 13:14:55,,00:01:34.1376211,00:02:53.8161290,00:01:16.9944539,,,,,,,,
786,2024-08-20 13:14:55,2024-08-20 13:17:13,,00:01:37.2932750,,,,,,,,,,
787,2024-08-20 13:17:13,2024-08-20 13:32:57,,00:01:34.4107321,00:02:52.9749971,00:01:16.6454205,00:01:57.8061983,00:01:23.4193190,00:00:58.4686437,00:00:43.5756073,00:01:00.5854693,00:00:41.7538585,00:01:24.7360425,
788,2024-08-20 13:32:57,2024-08-20 13:33:06,,,,,,,,,,,,
789,2024-08-20 13:33:06,2024-08-20 13:35:48,,00:01:33.5564205,,,,,,,,,,
790,2024-08-20 13:35:48,2024-08-20 13:38:09,,00:01:35.3845495,,,,,,,,,,
791,2024-08-20 13:38:09,2024-08-20 13:40:27,,00:01:34.2232390,,,,,,,,,,
792,2024-08-20 13:40:27,2024-08-20 13:43:40,,00:01:33.9281745,,,,,,,,,,
793,2024-08-20 13:43:40,2024-08-20 13:59:29,00:15:51.0715142,00:01:33.5669226,00:02:54.8057409,00:01:16.5458534,00:01:56.5910658,00:01:24.3424651,00:00:58.1481033,00:00:43.9501949,00:00:51.4742244,00:00:42.4387210,00:01:23.2457080,00:01:25.7247019
794,2024-11-07 21:49:33,2024-11-07 21:50:12,,,,,,,,,,,,
795,2024-11-07 21:50:12,2024-11-07 21:50:28,,,,,,,,,,,,
