id,started,ended,realTime,BOB (1),WF (6),CCM (8),Dank (9),SSL (11),LLL (13),HMC (15),fingi,DDD (16),Fiah,Sky
80,2024-08-06 10:34:04,2024-08-06 10:36:56,,00:01:35.0147858,,,,,,,,,,
81,2024-08-06 10:36:56,2024-08-06 10:40:48,,00:01:34.2991199,,,,,,,,,,
82,2024-08-06 10:40:48,2024-08-06 10:42:23,,,,,,,,,,,,
83,2024-08-06 10:42:23,2024-08-06 10:43:55,,,,,,,,,,,,
84,2024-08-06 10:43:55,2024-08-06 10:48:30,,00:01:34.1347910,,,,,,,,,,
85,2024-08-06 10:48:30,2024-08-06 10:49:32,,,,,,,,,,,,
86,2024-08-06 10:49:32,2024-08-06 10:52:39,,00:01:33.9343247,,,,,,,,,,
87,2024-08-06 10:52:39,2024-08-06 11:00:32,,00:01:33.8471312,00:03:04.4267257,,,,,,,,,
88,2024-08-07 19:20:36,2024-08-07 19:22:11,,,,,,,,,,,,
89,2024-08-07 19:22:11,2024-08-07 19:22:19,,,,,,,,,,,,
90,2024-08-07 19:22:19,2024-08-07 19:29:18,,00:01:34.1298054,00:03:04.4603304,00:01:22.5061659,,,,,,,,
91,2024-08-07 19:29:18,2024-08-07 19:41:59,,00:01:35.0833992,00:02:56.5581253,00:01:19.3624003,00:01:50.0858854,00:01:37.8663747,00:00:59.7758360,00:00:45.0005437,,,,
92,2024-08-07 19:41:59,2024-08-07 19:42:07,,,,,,,,,,,,
93,2024-08-07 19:42:07,2024-08-07 19:42:20,,,,,,,,,,,,
94,2024-08-07 19:42:20,2024-08-07 19:48:15,,00:01:34.6536181,00:02:56.2317132,,,,,,,,,
95,2024-08-07 19:48:15,2024-08-07 19:55:50,,00:01:34.0295036,00:03:00.4175152,00:01:26.9770332,,,,,,,,
96,2024-08-08 12:07:12,2024-08-08 12:09:58,,00:01:36.7268127,,,,,,,,,,
97,2024-08-08 12:09:58,2024-08-08 12:11:00,,,,,,,,,,,,
98,2024-08-08 12:11:00,2024-08-08 12:14:06,,00:01:34.1081683,,,,,,,,,,
99,2024-08-08 12:14:06,2024-08-08 12:14:14,,,,,,,,,,,,
100,2024-08-08 12:14:14,2024-08-08 12:15:17,,,,,,,,,,,,
101,2024-08-08 12:15:17,2024-08-08 12:17:44,,00:01:34.1982774,,,,,,,,,,
102,2024-08-08 12:17:44,2024-08-08 12:32:59,,00:01:33.9319436,00:02:57.1911777,00:01:18.4944291,00:02:03.9621890,00:01:25.5062934,00:01:04.3633017,00:00:44.0102830,00:01:01.5491697,00:00:46.8262890,00:01:24.1091524,
103,2024-08-08 12:32:59,2024-08-08 12:35:20,,00:01:33.6880684,,,,,,,,,,
104,2024-08-08 12:35:21,2024-08-08 12:38:09,,00:01:33.9447895,,,,,,,,,,
105,2024-08-08 12:38:09,2024-08-08 12:40:34,,00:01:33.8020135,,,,,,,,,,
106,2024-08-08 12:40:34,2024-08-08 12:44:56,,00:01:34.4807863,,,,,,,,,,
107,2024-08-08 12:44:56,2024-08-08 12:47:21,,00:01:35.4600876,,,,,,,,,,
108,2024-08-08 12:47:21,2024-08-08 12:48:53,,,,,,,,,,,,
109,2024-08-08 12:48:53,2024-08-08 12:49:01,,,,,,,,,,,,
110,2024-08-08 12:49:01,2024-08-08 12:50:03,,,,,,,,,,,,
111,2024-08-08 12:50:03,2024-08-08 12:52:55,,00:01:36.0647295,,,,,,,,,,
112,2024-08-08 12:52:55,2024-08-08 13:05:46,,00:01:34.3991382,00:02:55.3574583,00:01:17.1673167,00:01:53.7127053,00:01:20.0896749,00:01:04.3988485,00:00:44.0299210,,00:00:54.9858903,,
113,2024-08-08 13:05:46,2024-08-08 13:05:56,,,,,,,,,,,,
114,2024-08-08 13:05:56,2024-08-08 13:06:04,,,,,,,,,,,,
115,2024-08-08 13:06:04,2024-08-08 13:07:07,,,,,,,,,,,,
116,2024-08-08 13:07:07,2024-08-08 13:10:29,,00:01:34.2327208,,,,,,,,,,
117,2024-08-08 13:10:29,2024-08-08 13:13:39,,00:01:35.9106341,,,,,,,,,,
118,2024-08-08 13:13:39,2024-08-08 13:23:27,,00:01:34.4060598,00:02:56.2932289,00:01:18.2874455,00:01:59.8366151,00:01:53.2282582,,,,,,
119,2024-08-08 13:23:27,2024-08-08 13:23:37,,,,,,,,,,,,
120,2024-08-08 13:23:37,2024-08-08 13:27:56,,,,,,,,,,,,
121,2024-08-08 13:27:56,2024-08-08 13:29:01,,,,,,,,,,,,
122,2024-08-08 13:29:01,2024-08-08 13:30:04,,,,,,,,,,,,
123,2024-08-08 13:30:04,2024-08-08 13:31:07,,,,,,,,,,,,
124,2024-08-08 13:31:07,2024-08-08 13:34:27,,00:01:35.2378051,,,,,,,,,,
125,2024-08-08 13:34:27,2024-08-08 13:39:10,,00:01:35.8485307,,,,,,,,,,
