id,started,ended,realTime,bob,wf,ccm,dw,ssl,lll,hmc,ddd,fs,bljs,bits
151,2018-07-27 20:44:54,2018-07-27 20:46:56,,,,,,,,,,,,
152,2018-07-27 20:46:57,2018-07-27 20:50:50,,,,,,,,,,,,
153,2018-07-27 20:50:51,2018-07-27 20:54:05,,,,,,,,,,,,
154,2018-07-27 20:54:07,2018-07-27 20:57:22,,,,,,,,,,,,
155,2018-07-27 20:57:23,2018-07-27 20:59:20,,,,,,,,,,,,
156,2018-07-27 20:59:21,2018-07-27 21:05:36,,,,,,,,,,,,
157,2018-07-30 19:12:42,2018-07-30 19:12:58,,,,,,,,,,,,
158,2018-07-30 19:14:44,2018-07-30 19:14:46,,,,,,,,,,,,
159,2018-07-30 19:14:46,2018-07-30 19:14:48,,,,,,,,,,,,
160,2018-07-30 19:15:22,2018-07-30 19:19:12,,,,,,,,,,,,
161,2018-07-30 19:19:13,2018-07-30 19:23:06,,,,,,,,,,,,
162,2018-07-30 19:23:08,2018-07-30 19:53:15,,,,,,,,00:02:28.0820000,00:03:37.5300000,00:03:33.7520000,00:03:33.5210000,
163,2018-07-30 19:53:16,2018-07-30 19:54:59,,,,,,,,,,,,
164,2018-07-30 19:55:00,2018-07-30 19:58:56,,,,,,,,,,,,
165,2018-07-30 19:58:58,2018-07-30 20:12:56,,,,,,,,,,,,
166,2018-07-30 20:12:58,2018-07-30 20:14:55,,,,,,,,,,,,
167,2018-07-30 20:14:56,2018-07-30 20:18:15,,,,,,,,,,,,
168,2018-07-30 20:18:17,2018-07-30 20:42:26,,,,,,,,00:02:32.7780000,00:02:16.5970000,00:02:09.0820000,00:01:16.4720000,
169,2018-08-06 22:10:24,2018-08-06 22:12:31,,,,,,,,,,,,
170,2018-08-06 22:12:32,2018-08-06 22:14:47,,,,,,,,,,,,
171,2018-08-06 22:14:48,2018-08-06 22:17:01,,,,,,,,,,,,
172,2018-08-06 22:17:02,2018-08-06 22:25:57,,,,,,,,,,,,
173,2018-08-06 22:25:58,2018-08-06 22:28:19,,,,,,,,,,,,
174,2018-08-06 22:28:20,2018-08-06 22:30:32,,,,,,,,,,,,
175,2018-08-06 22:30:34,2018-08-06 22:32:54,,,,,,,,,,,,
176,2018-10-05 23:17:25,2018-10-05 23:17:27,,,,,,,,,,,,
177,2018-10-05 23:17:27,2018-10-05 23:17:28,,,,,,,,,,,,
178,2018-10-05 23:17:29,2018-10-05 23:17:29,,,,,,,,,,,,
179,2018-10-05 23:18:19,2018-10-05 23:18:26,,,,,,,,,,,,
180,2018-10-05 23:21:41,2018-10-05 23:27:38,,,,,,,,,,,,
181,2018-10-05 23:28:11,2018-10-05 23:43:15,,,,,,,,,,,,
182,2018-10-05 23:43:17,2018-10-05 23:45:52,,,,,,,,,,,,
183,2018-10-05 23:45:53,2018-10-06 00:15:30,,,,,,,,00:03:32.1640000,00:07:20.5010000,00:02:13.3040000,00:01:49.8240000,
184,2018-10-06 00:15:34,2018-10-06 00:15:48,,,,,,,,,,,,
185,2018-10-06 00:16:14,2018-10-06 00:20:46,,,,,,,,,,,,
186,2018-10-06 00:20:47,2018-10-06 00:24:14,,,,,,,,,,,,
187,2018-10-06 00:24:15,2018-10-06 00:26:41,,,,,,,,,,,,
188,2018-10-06 00:26:42,2018-10-06 00:29:05,,,,,,,,,,,,
189,2018-10-06 00:29:06,2018-10-06 00:34:08,,,,,,,,,,,,
190,2018-10-06 00:34:10,2018-10-06 00:36:28,,,,,,,,,,,,
191,2018-10-06 00:36:29,2018-10-06 00:40:35,,,,,,,,,,,,
192,2018-10-06 00:40:37,2018-10-06 00:43:01,,,,,,,,,,,,
193,2018-10-06 00:43:02,2018-10-06 00:45:22,,,,,,,,,,,,
194,2018-10-06 00:45:23,2018-10-06 00:47:45,,,,,,,,,,,,
195,2018-10-06 00:47:45,2018-10-06 00:51:37,,,,,,,,,,,,
196,2018-10-06 00:51:38,2018-10-06 00:53:53,,,,,,,,,,,,
197,2018-10-06 00:53:54,2018-10-06 00:57:15,,,,,,,,,,,,
198,2018-10-06 00:57:16,2018-10-06 01:01:04,,,,,,,,,,,,
199,2018-10-06 01:01:05,2018-10-06 01:04:26,,,,,,,,,,,,
200,2018-10-06 01:04:31,2018-10-06 01:08:32,,,,,,,,,,,,
201,2018-10-06 01:08:33,2018-10-06 01:11:03,,,,,,,,,,,,
202,2018-10-06 01:14:14,2018-10-06 01:16:30,,,,,,,,,,,,
203,2018-10-06 01:16:31,2018-10-06 01:20:46,,,,,,,,,,,,
204,2018-10-06 01:20:47,2018-10-06 01:24:48,,,,,,,,,,,,
205,2018-10-06 01:24:49,2018-10-06 01:28:56,,,,,,,,,,,,
206,2018-10-06 01:28:57,2018-10-06 01:32:19,,,,,,,,,,,,
207,2018-10-06 01:32:20,2018-10-06 01:34:27,,,,,,,,,,,,
208,2018-10-06 01:34:27,2018-10-06 01:39:04,,,,,,,,,,,,
209,2018-10-06 01:39:06,2018-10-06 01:42:29,,,,,,,,,,,,
210,2018-10-06 01:42:30,2018-10-06 01:46:38,,,,,,,,,,,,
211,2018-10-06 01:46:38,2018-10-06 01:50:52,,,,,,,,,,,,
212,2018-10-06 01:50:53,2018-10-06 21:38:52,,,,,,,,,,,,
213,2018-10-06 21:39:05,2018-10-06 21:43:01,,,,,,,,,,,,
214,2018-10-06 21:43:02,2018-10-06 21:45:06,,,,,,,,,,,,
215,2018-10-06 21:45:09,2018-10-06 21:56:06,,,,,,,,,,,,
216,2018-10-06 21:56:08,2018-10-06 21:56:10,,,,,,,,,,,,
217,2018-10-06 21:56:16,2018-10-06 21:58:24,,,,,,,,,,,,
218,2018-10-06 21:58:25,2018-10-06 22:02:30,,,,,,,,,,,,
219,2018-10-06 22:02:31,2018-10-06 22:04:46,,,,,,,,,,,,
220,2018-10-06 22:04:48,2018-10-06 22:08:15,,,,,,,,,,,,
221,2018-10-06 22:08:16,2018-10-06 22:12:11,,,,,,,,,,,,
222,2018-10-06 22:12:12,2018-10-06 22:16:41,,,,,,,,,,,,
223,2018-10-06 22:16:43,2018-10-06 22:20:54,,,,,,,,,,,,
224,2018-10-06 22:20:55,2018-10-06 22:31:09,,,,,,,,,,,,
225,2018-10-06 22:31:10,2018-10-06 22:35:28,,,,,,,,,,,,
226,2018-10-09 21:54:01,2018-10-09 21:59:05,,,,,,,,,,,,
227,2018-10-09 21:59:07,2018-10-09 22:03:36,,,,,,,,,,,,
228,2018-10-09 22:03:37,2018-10-09 22:12:54,,,,,,,,,,,,
229,2018-10-09 22:12:56,2018-10-09 22:24:20,,,,,,,,,,,,
230,2018-10-09 22:24:22,2018-10-09 22:43:02,,,,,,,,00:02:10.6230000,00:02:38.0460000,,,
231,2018-10-10 23:15:14,2018-10-10 23:17:36,,,,,,,,,,,,
232,2018-10-10 23:17:38,2018-10-10 23:21:22,,,,,,,,,,,,
233,2018-10-10 23:21:23,2018-10-10 23:37:20,,,,,,,,00:02:40.5080000,,,,
234,2018-10-10 23:37:24,2018-10-10 23:45:39,,,,,,,,,,,,
235,2018-10-11 00:04:35,2018-10-11 00:06:55,,,,,,,,,,,,
236,2018-10-11 00:06:56,2018-10-11 00:17:02,,,,,,,,,,,,
