id,started,ended,realTime,BOB (1),WF (6),CCM (8),BitDW (BOWSER),SSL (11),LLL (12),HMC (15),MIPS Clip,DDD (16),BitFS (BOWSER),BLJs,BitS
84,03/13/2025 02:22:51,03/13/2025 02:42:11,,00:01:38.6995966,00:03:30.7550844,00:01:28.3094736,00:02:06.1757996,00:01:25.5306358,00:00:33.7656772,00:01:23.8701728,00:00:56.4324376,00:00:53.3984648,00:01:40.4573217,00:01:46.4624622,
85,03/13/2025 02:42:11,03/13/2025 03:03:03,,00:01:38.0712680,00:03:22.6567214,00:01:24.8298970,00:02:04.6665700,00:01:32.5443388,00:00:40.9156067,00:01:26.3942045,00:00:59.9932258,00:00:45.9329405,00:01:36.6156865,00:02:04.4942238,
86,03/13/2025 03:03:03,03/13/2025 03:15:23,,00:01:48.4417406,00:03:24.0159530,00:01:25.6317295,,,,,,,,,
87,03/13/2025 03:15:23,03/13/2025 03:23:54,,00:01:48.5627064,00:03:18.5907296,00:01:31.2961597,,,,,,,,,
88,03/13/2025 03:23:54,03/13/2025 03:34:14,,00:01:46.0020661,00:03:16.7895938,00:01:24.6819854,00:02:16.5983057,,,,,,,,
89,03/13/2025 03:34:14,03/13/2025 03:59:24,,00:01:38.9409817,00:03:23.4043596,00:01:27.1446906,00:02:04.2282883,00:01:29.7755643,00:00:34.2651282,00:01:29.4565255,00:00:52.5506103,00:00:50.0563284,00:01:41.7844865,00:02:27.5429663,
90,03/13/2025 03:59:24,03/13/2025 04:02:29,,00:01:38.9608568,,,,,,,,,,,
91,03/13/2025 04:02:29,03/13/2025 04:10:20,,00:01:47.4484820,00:03:25.2081275,00:01:25.6976869,,,,,,,,,
92,03/13/2025 04:10:21,03/13/2025 04:10:21,,,,,,,,,,,,,
93,03/13/2025 04:10:24,03/13/2025 04:10:26,,,,,,,,,,,,,
94,03/13/2025 20:30:31,03/13/2025 20:30:46,,,,,,,,,,,,,
95,03/13/2025 20:30:46,03/13/2025 20:32:29,,,,,,,,,,,,,
96,03/13/2025 20:32:29,03/13/2025 20:34:16,,,,,,,,,,,,,
97,03/13/2025 20:34:16,03/13/2025 20:38:11,,00:01:38.7337801,,,,,,,,,,,
98,03/13/2025 20:38:11,03/13/2025 20:47:48,,00:01:48.2842998,00:03:31.9665975,00:01:27.3708520,,,,,,,,,
